iShares Core MSCI Total International Stock ETF
Fund Holdings as of,"Oct 24, 2024"
Inception Date,"Oct 18, 2012"
Shares Outstanding,"547,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Financials","Equity","68,444,284.32","0.18","68,444,284.32","7,019,824.00","9.75","Spain","Bolsa De Madrid","USD","0.93","EUR","-"
"MQG","MACQUARIE GROUP LTD DEF","Financials","Equity","68,064,490.37","0.18","68,064,490.37","439,808.00","154.76","Australia","Asx - All Markets","USD","1.51","AUD","-"
"CPG","COMPASS GROUP PLC","Consumer Discretionary","Equity","67,808,571.83","0.18","67,808,571.83","2,097,294.00","32.33","United Kingdom","London Stock Exchange","USD","0.77","GBP","-"
"INGA","ING GROEP NV","Financials","Equity","67,557,826.40","0.18","67,557,826.40","4,029,368.00","16.77","Netherlands","Euronext Amsterdam","USD","0.93","EUR","-"
"7974","NINTENDO LTD","Communication","Equity","66,826,468.96","0.17","66,826,468.96","1,258,100.00","53.12","Japan","Tokyo Stock Exchange","USD","151.91","JPY","-"
"MFC","MANULIFE FINANCIAL CORP","Financials","Equity","65,575,055.80","0.17","65,575,055.80","2,186,651.00","29.99","Canada","Toronto Stock Exchange","USD","1.38","CAD","-"
"GLEN","GLENCORE PLC","Materials","Equity","64,973,793.02","0.17","64,973,793.02","12,594,801.00","5.16","United Kingdom","London Stock Exchange","USD","0.77","GBP","-"
"8031","MITSUI LTD","Industrials","Equity","64,032,519.25","0.17","64,032,519.25","3,137,800.00","20.41","Japan","Tokyo Stock Exchange","USD","151.91","JPY","-"
"WES","WESFARMERS LTD","Consumer Discretionary","Equity","63,955,424.27","0.17","63,955,424.27","1,382,857.00","46.25","Australia","Asx - All Markets","USD","1.51","AUD","-"
"BHARTIARTL","BHARTI AIRTEL LTD","Communication","Equity","63,201,410.65","0.16","63,201,410.65","3,165,907.00","19.96","India","National Stock Exchange Of India","USD","84.08","INR","-"
"BA.","BAE SYSTEMS PLC","Industrials","Equity","62,108,861.96","0.16","62,108,861.96","3,674,132.00","16.90","United Kingdom","London Stock Exchange","USD","0.77","GBP","Jan 01, 1998"
"LLOY","LLOYDS BANKING GROUP PLC","Financials","Equity","61,305,538.90","0.16","61,305,538.90","76,059,698.00","0.81","United Kingdom","London Stock Exchange","USD","0.77","GBP","-"
